date,Average
20201221,5.8
20201222,5.8
20201223,5.8
20201224,5.8
20201225,5.8
20201226,5.8
20201227,5.8
20201228,5.8
20201229,5.8
20201230,5.8
20201231,5.8
20210101,5.8
20210102,5.9
20210103,5.9
20210104,5.9
20210105,5.9
20210106,5.9
20210107,5.9
20210108,6
20210109,6
20210110,5.9
20210111,5.9
20210112,5.9
20210113,5.9
20210114,5.8
20210115,5.8
20210116,5.8
20210117,5.7
20210118,5.7
20210119,5.6
20210120,5.6
20210121,5.5
20210122,5.5
20210123,5.4
20210124,5.4
20210125,5.4
20210126,5.3
20210127,5.3
20210128,5.3
20210129,5.3
20210130,5.3
20210131,5.4
20210201,5.4
20210202,5.4
20210203,5.4
20210204,5.5
20210205,5.5
20210206,5.6
20210207,5.6
20210208,5.6
20210209,5.7
20210210,5.7
20210211,5.7
20210212,5.8
20210213,5.8
20210214,5.9
20210215,5.9
20210216,6
20210217,6
20210218,6.1
20210219,6.2
20210220,6.2
20210221,6.3
20210222,6.4
20210223,6.4
20210224,6.5
20210225,6.6
20210226,6.6
20210227,6.7
20210228,6.8
20210301,6.8
20210302,6.9
20210303,7
20210304,7.1
20210305,7.2
20210306,7.3
20210307,7.4
20210308,7.5
20210309,7.6
20210310,7.7
20210311,7.8
20210312,7.9
20210313,8
20210314,8.1
20210315,8.2
20210316,8.3
20210317,8.4
20210318,8.4
20210319,8.5
20210320,8.6
20210321,8.7
20210322,8.8
20210323,8.8
20210324,8.9
20210325,9
20210326,9.1
20210327,9.1
20210328,8.1
20210329,8.2
20210330,8.3
20210331,8.4
20210401,8.5
20210402,8.6
20210403,8.7
20210404,8.8
20210405,8.9
20210406,8.9
20210407,9
20210408,9.1
20210409,9.2
20210410,9.3
20210411,9.4
20210412,9.5
20210413,9.5
20210414,9.6
20210415,9.7
20210416,9.8
20210417,9.9
20210418,10
20210419,10.1
20210420,10.2
20210421,10.3
20210422,10.4
20210423,10.5
20210424,10.6
20210425,10.7
20210426,10.8
20210427,10.9
20210428,11
20210429,11
20210430,11.1
20210501,11.2
20210502,11.3
20210503,11.4
20210504,11.5
20210505,11.6
20210506,11.7
20210507,11.8
20210508,11.9
20210509,12.1
20210510,12.2
20210511,12.3
20210512,12.4
20210513,12.5
20210514,12.6
20210515,12.7
20210516,12.8
20210517,13
20210518,13.1
20210519,13.2
20210520,13.3
20210521,13.4
20210522,13.5
20210523,13.6
20210524,13.7
20210525,13.8
20210526,13.9
20210527,14
20210528,14.1
20210529,14.2
20210530,14.3
20210531,14.4
20210601,14.5
20210602,14.6
20210603,14.6
20210604,14.7
20210605,14.8
20210606,14.9
20210607,15
20210608,15.1
20210609,15.1
20210610,15.2
20210611,15.3
20210612,15.4
20210613,15.5
20210614,15.5
20210615,15.6
20210616,15.7
20210617,15.8
20210618,15.9
20210619,16
20210620,16
20210621,16.1
20210622,16.2
20210623,16.3
20210624,16.4
20210625,16.4
20210626,16.5
20210627,16.6
20210628,16.6
20210629,16.7
20210630,16.8
20210701,16.8
20210702,16.9
20210703,16.9
20210704,17
20210705,17.1
20210706,17.1
20210707,17.2
20210708,17.2
20210709,17.3
20210710,17.3
20210711,17.4
